Date,Time,,XREADING,YREADING,ZREADING,sensorReading,temp,hum
31-03-2018,6:53:58 PM,,291,336,286,234,89.6,"59.00
"
31-03-2018,6:53:58 PM,,290,333,284,232,89.6,"59.00
"
31-03-2018,6:53:59 PM,,290,334,285,232,89.6,
31-03-2018,6:54:00 PM,,291,335,286,230,89.6,"59.00
"
31-03-2018,6:54:00 PM,,289,334,284,229,89.6,"59.00
"
31-03-2018,6:54:01 PM,,290,333,285,228,89.6,"59.00
"
31-03-2018,6:54:02 PM,,291,335,286,228,89.6,"59.00
"
31-03-2018,6:54:02 PM,,289,333,285,227,89.6,"59.00
"
31-03-2018,6:54:03 PM,,289,334,284,226,89.6,"59.00
"
31-03-2018,6:54:04 PM,,290,336,287,226,89.6,"59.00
"
31-03-2018,6:54:05 PM,,289,334,286,224,89.6,"59.00
"
31-03-2018,6:54:05 PM,,290,333,286,223,89.6,"59.00
"
31-03-2018,6:54:06 PM,,289,336,285,225,89.6,"59.00
"
31-03-2018,6:54:07 PM,,290,333,284,244,89.6,"59.00
"
31-03-2018,6:54:07 PM,,287,332,281,266,89.6,"59.00
"
31-03-2018,6:54:08 PM,,295,339,287,287,89.6,"59.00
"
31-03-2018,6:54:09 PM,,288,333,284,313,89.6,"59.00
"
31-03-2018,6:54:09 PM,,291,332,283,537,89.6,"59.00
"
31-03-2018,6:54:10 PM,,294,335,284,317,89.6,"59.00
"
31-03-2018,6:54:11 PM,,292,334,283,311,89.6,"59.00
"
31-03-2018,6:54:11 PM,,292,334,283,310,89.6,"59.00
"
31-03-2018,6:54:12 PM,,294,336,284,307,89.6,"59.00
"
31-03-2018,6:54:13 PM,,292,334,282,306,89.6,"59.00
"
31-03-2018,6:54:13 PM,,291,334,282,302,89.6,"59.00
"
31-03-2018,6:54:14 PM,,294,335,284,302,89.6,"59.00
"
31-03-2018,6:54:15 PM,,292,334,283,302,89.6,"59.00
"
31-03-2018,6:54:16 PM,,291,334,283,299,89.6,"59.00
"
31-03-2018,6:54:16 PM,,293,336,284,309,89.6,"59.00
"
31-03-2018,6:54:17 PM,,291,338,286,579,89.6,"59.00
"
31-03-2018,6:54:18 PM,,292,334,283,356,89.6,"59.00
"
31-03-2018,6:54:18 PM,,315,342,313,353,89.6,"59.00
"
31-03-2018,6:54:19 PM,,297,335,298,350,89.6,"59.00
"
31-03-2018,6:54:20 PM,,270,336,277,347,89.6,"59.00
"
31-03-2018,6:54:21 PM,,296,338,286,345,89.6,"59.00
"
31-03-2018,6:54:21 PM,,292,335,283,343,89.6,"59.00
"
31-03-2018,6:54:22 PM,,292,334,284,340,89.6,"59.00
"
31-03-2018,6:54:23 PM,,294,332,284,340,89.6,"59.00
"
31-03-2018,6:54:23 PM,,293,332,281,336,89.6,"59.00
"
31-03-2018,6:54:24 PM,,288,330,276,335,89.6,"59.00
"
31-03-2018,6:54:25 PM,,294,334,285,330,89.6,"59.00
"
31-03-2018,6:54:25 PM,,293,327,281,321,89.6,"59.00
"
31-03-2018,6:54:26 PM,,297,323,285,316,89.6,"59.00
"
31-03-2018,6:54:27 PM,,297,323,282,313,89.6,"61.00
"
31-03-2018,6:54:27 PM,,295,324,282,314,89.6,"61.00
"
31-03-2018,6:54:28 PM,,294,324,284,312,89.6,"61.00
"
31-03-2018,6:54:29 PM,,297,328,282,311,89.6,"67.00
"
31-03-2018,6:54:29 PM,,293,327,281,312,89.6,"67.00
"
31-03-2018,6:54:30 PM,,686,754,692,309,89.6,"67.00
"
31-03-2018,6:54:31 PM,,945,918,919,318,89.6,"71.00
"
31-03-2018,6:54:32 PM,,942,896,901,305,89.6,"71.00
"
31-03-2018,6:54:32 PM,,939,890,887,305,89.6,"71.00
"
31-03-2018,6:54:33 PM,,937,885,885,305,89.6,"75.00
"
31-03-2018,6:54:34 PM,,936,886,888,304,89.6,"75.00
"
31-03-2018,6:54:34 PM,,937,884,885,304,89.6,"75.00
"
31-03-2018,6:54:35 PM,,935,884,883,303,89.6,"79.00
"
31-03-2018,6:54:36 PM,,936,888,889,301,89.6,"79.00
"
31-03-2018,6:54:36 PM,,936,889,891,301,89.6,"79.00
"
31-03-2018,6:54:37 PM,,932,887,888,299,89.6,"81.00
"
31-03-2018,6:54:38 PM,,934,887,892,299,89.6,"81.00
"
31-03-2018,6:54:38 PM,,937,891,890,299,89.6,"81.00
"
31-03-2018,6:54:39 PM,,935,890,893,297,89.6,"84.00
"
31-03-2018,6:54:40 PM,,935,893,892,295,89.6,"84.00
"
31-03-2018,6:54:40 PM,,934,891,891,294,89.6,"84.00
"
31-03-2018,6:54:41 PM,,935,894,891,293,89.6,"85.00
"
31-03-2018,6:54:42 PM,,933,892,894,292,89.6,"85.00
"
31-03-2018,6:54:43 PM,,934,895,896,290,89.6,"85.00
"
31-03-2018,6:54:43 PM,,933,894,892,291,89.6,"86.00
"
31-03-2018,6:54:44 PM,,937,897,896,255,89.6,"86.00
"
31-03-2018,6:54:45 PM,,935,896,894,258,89.6,"86.00
"
31-03-2018,6:54:46 PM,,933,898,894,259,91.4,"88.00
"
31-03-2018,6:54:46 PM,,931,895,896,258,91.4,"88.00
"
31-03-2018,6:54:47 PM,,932,894,896,256,91.4,"88.00
"
31-03-2018,6:54:48 PM,,932,893,893,253,91.4,"85.00
"
31-03-2018,6:54:48 PM,,931,895,898,250,91.4,"85.00
"
31-03-2018,6:54:49 PM,,931,897,898,246,91.4,"85.00
"
31-03-2018,6:54:50 PM,,931,895,895,245,91.4,"81.00
"
31-03-2018,6:54:50 PM,,933,898,897,245,91.4,"81.00
"
31-03-2018,6:54:51 PM,,932,898,896,243,91.4,"81.00
"
31-03-2018,6:54:52 PM,,932,897,899,243,91.4,"78.00
"
31-03-2018,6:54:52 PM,,932,898,897,244,91.4,"78.00
"
31-03-2018,6:54:53 PM,,928,898,897,246,91.4,"78.00
"
31-03-2018,6:54:54 PM,,926,898,898,246,91.4,"74.00
"
31-03-2018,6:54:54 PM,,930,899,897,245,91.4,"74.00
"
31-03-2018,6:54:55 PM,,929,899,900,246,91.4,"74.00
"
31-03-2018,6:54:56 PM,,928,899,899,247,91.4,"72.00
"
31-03-2018,6:54:56 PM,,925,901,899,246,91.4,"72.00
"
31-03-2018,6:54:57 PM,,924,902,902,240,91.4,"72.00
"
31-03-2018,6:54:58 PM,,923,902,899,241,91.4,"70.00
"
31-03-2018,6:54:59 PM,,925,899,899,241,91.4,"70.00
"
31-03-2018,6:54:59 PM,,925,899,900,240,91.4,"70.00
"
31-03-2018,6:55:00 PM,,924,899,903,240,91.4,"68.00
"
31-03-2018,6:55:01 PM,,925,901,900,241,91.4,"68.00
"
31-03-2018,6:55:01 PM,,921,901,900,240,91.4,"68.00
"
31-03-2018,6:55:02 PM,,924,903,901,242,91.4,"67.00
"
31-03-2018,6:55:03 PM,,922,900,900,243,91.4,"67.00
"
31-03-2018,6:55:04 PM,,920,904,900,242,91.4,"67.00
"
31-03-2018,6:55:04 PM,,922,903,903,244,91.4,"66.00
"
31-03-2018,6:55:05 PM,,920,902,903,245,91.4,"66.00
"
31-03-2018,6:55:05 PM,,920,901,906,246,91.4,"66.00
"
31-03-2018,6:55:06 PM,,919,904,902,246,91.4,"64.00
"
31-03-2018,6:55:07 PM,,918,906,902,246,91.4,"64.00
"
31-03-2018,6:55:07 PM,,918,901,904,248,91.4,"64.00
"
31-03-2018,6:56:47 PM,,899,915,918,298,91.4,"56.00
"
31-03-2018,6:56:48 PM,,895,917,917,302,91.4,"56.00
"
31-03-2018,6:56:49 PM,,897,914,918,306,91.4,"56.00
"
31-03-2018,6:56:49 PM,,898,915,918,307,91.4,"56.00
"
31-03-2018,6:56:50 PM,,895,918,915,308,91.4,"57.00
"
31-03-2018,6:56:51 PM,,897,914,918,306,91.4,"57.00
"
31-03-2018,6:56:51 PM,,898,913,913,317,91.4,"57.00
"
31-03-2018,6:56:52 PM,,896,912,918,330,91.4,"57.00
"
31-03-2018,6:56:53 PM,,899,912,915,334,91.4,"57.00
"
31-03-2018,6:56:53 PM,,895,918,914,335,91.4,"57.00
"
31-03-2018,6:56:54 PM,,895,915,912,336,nan,"nan
"
31-03-2018,6:56:55 PM,,896,915,913,335,nan,"nan
"
31-03-2018,6:56:56 PM,,895,914,915,331,nan,"nan
"
31-03-2018,6:56:56 PM,,896,915,916,307,nan,"nan
"
31-03-2018,6:56:57 PM,,898,914,914,355,nan,"nan
"
31-03-2018,6:56:58 PM,,895,915,918,352,nan,"nan
"
31-03-2018,6:56:59 PM,,899,914,914,359,nan,"nan
"
